,ano,mes,L7,L8
0,2011,1,3,0
0,2011,2,2,0
0,2011,3,2,0
0,2011,4,3,0
0,2011,5,3,0
0,2011,6,2,0
0,2011,7,5,0
0,2012,1,4,0
0,2012,2,3,0
0,2012,3,5,0
0,2012,4,2,0
0,2012,5,2,0
0,2012,6,4,0
0,2012,7,5,0
0,2013,1,1,0
0,2013,2,6,0
0,2013,3,4,0
0,2013,4,2,1
0,2013,5,0,1
0,2013,6,0,2
0,2013,7,2,4
0,2014,1,0,8
0,2014,2,0,10
0,2014,3,0,3
0,2014,4,0,5
0,2014,5,0,7
0,2014,6,0,6
0,2014,7,0,3
0,2015,1,0,5
0,2015,2,0,3
0,2015,3,0,6
0,2015,4,0,7
0,2015,5,0,3
0,2015,6,0,5
0,2015,7,0,2
0,2016,1,0,6
0,2016,2,4,6
0,2016,3,1,8
0,2016,4,0,3
0,2016,5,0,2
0,2016,6,0,5
0,2016,7,0,7
0,2017,1,0,6
0,2017,2,0,4
0,2017,3,0,1
0,2017,4,0,5
0,2017,5,0,4
0,2017,6,0,3
0,2017,7,0,5
0,2018,1,0,2
0,2018,2,0,4
0,2018,3,0,6
0,2018,4,0,5
0,2018,5,0,2
0,2018,6,0,6
0,2018,7,0,5
0,2019,1,0,6
0,2019,2,0,6
0,2019,3,0,6
0,2019,4,0,3
0,2019,5,0,5
0,2019,6,0,8
0,2019,7,0,8
0,2011,8,4,0
0,2011,9,1,0
0,2011,10,3,0
0,2011,11,4,0
0,2011,12,2,0
0,2012,8,2,0
0,2012,9,5,0
0,2012,10,6,0
0,2012,11,3,0
0,2012,12,5,0
0,2013,8,5,9
0,2013,9,3,4
0,2013,10,4,3
0,2013,11,2,8
0,2013,12,0,5
0,2014,8,2,3
0,2014,9,0,3
0,2014,10,0,7
0,2014,11,0,7
0,2014,12,0,5
0,2015,8,0,6
0,2015,9,0,8
0,2015,10,0,6
0,2015,11,0,6
0,2015,12,0,4
0,2016,8,0,6
0,2016,9,0,7
0,2016,10,0,3
0,2016,11,0,1
0,2016,12,0,9
0,2017,8,0,5
0,2017,9,0,3
0,2017,10,0,4
0,2017,11,0,0
0,2017,12,0,9
0,2018,8,0,7
0,2018,9,0,7
0,2018,10,0,8
0,2018,11,0,6
0,2018,12,0,7
0,2019,8,0,5
0,2019,9,0,5
0,2019,10,0,6
0,2019,11,0,8
0,2019,12,0,6
